'Elapsed time','EEG Fp1'
0.304,1.456
0.306,1.378
0.308,1.405
0.310,1.485
0.312,1.566
0.314,1.628
0.316,1.680
0.318,1.756
0.320,1.893
0.322,2.105
0.324,2.367
0.326,2.624
0.328,2.812
0.330,2.888
0.332,2.847
0.334,2.732
0.336,2.621
0.338,2.598
0.340,2.740
0.342,3.089
0.344,3.649
0.346,4.383
0.348,5.225
0.350,6.091
0.352,6.884
0.354,7.504
0.356,7.860
0.358,7.886
0.360,7.551
0.362,6.876
0.364,5.936
0.366,4.847
0.368,3.758
0.370,2.796
0.372,2.056
0.374,1.569
0.376,1.309
0.378,1.199
0.380,1.140
0.382,1.046
0.384,0.855
0.386,0.555
0.388,0.166
0.390,-0.262
0.392,-0.670
0.394,-1.014
0.396,-1.274
0.398,-1.456
0.400,-1.585
0.402,-1.702
0.404,-1.847
0.406,-2.050
0.408,-2.327
0.410,-2.681
0.412,-3.105
0.414,-3.582
0.416,-4.099
0.418,-4.643
0.420,-5.209
0.422,-5.791
0.424,-6.385
0.426,-6.984
0.428,-7.567
0.430,-8.102
0.432,-8.544
0.434,-8.839
0.436,-8.927
0.438,-8.756
0.440,-8.294
0.442,-7.530
0.444,-6.485
0.446,-5.216
0.448,-3.814
0.450,-2.396
0.452,-1.096
0.454,-0.041
0.456,0.665
0.458,0.968
0.460,0.874
0.462,0.447
0.464,-0.199
0.466,-0.923
0.468,-1.582
0.470,-2.053
0.472,-2.254
0.474,-2.155
0.476,-1.769
0.478,-1.147
0.480,-0.367
0.482,0.474
0.484,1.270
0.486,1.925
0.488,2.364
0.490,2.557
0.492,2.530
0.494,2.369
0.496,2.196
0.498,2.148
0.500,2.319
0.502,2.743
0.504,3.373
0.506,4.110
0.508,4.833
0.510,5.440
0.512,5.884
0.514,6.158
0.516,6.287
0.518,6.297
0.520,6.195
0.522,5.960
0.524,5.573
0.526,5.023
0.528,4.329
0.530,3.531
0.532,2.705
0.534,1.916
0.536,1.222
0.538,0.671
0.540,0.303
0.542,0.142
0.544,0.196
0.546,0.434
0.548,0.785
0.550,1.128
0.552,1.317
0.554,1.227
0.556,0.777
0.558,-0.010
0.560,-1.016
0.562,-2.050
0.564,-2.887
0.566,-3.340
0.568,-3.302
0.570,-2.782
0.572,-1.901
0.574,-0.860
0.576,0.115
0.578,0.820
0.580,1.134
0.582,1.037
0.584,0.611
0.586,0.026
0.588,-0.510
0.590,-0.794
0.592,-0.676
0.594,-0.102
0.596,0.885
0.598,2.140
0.600,3.455
0.602,4.595
0.604,5.358
0.606,5.606
0.608,5.300
0.610,4.496
0.612,3.330
0.614,1.989
0.616,0.665
0.618,-0.478
0.620,-1.340
0.622,-1.893
0.624,-2.184
0.626,-2.311
0.628,-2.399
0.630,-2.558
0.632,-2.869
0.634,-3.357
0.636,-4.002
0.638,-4.750
0.640,-5.543
0.642,-6.327
0.644,-7.072
0.646,-7.763
0.648,-8.396
0.650,-8.961
0.652,-9.445
0.654,-9.836
0.656,-10.131
0.658,-10.351
0.660,-10.548
0.662,-10.792
0.664,-11.171
0.666,-11.753
0.668,-12.570
0.670,-13.594
0.672,-14.742
0.674,-15.887
0.676,-16.880
0.678,-17.593
0.680,-17.951
0.682,-17.956
0.684,-17.690
0.686,-17.299
0.688,-16.966
0.690,-16.860
0.692,-17.111
0.694,-17.774
0.696,-18.824
0.698,-20.167
0.700,-21.649
0.702,-23.097
0.704,-24.342
0.706,-25.248
0.708,-25.720
0.710,-25.709
0.712,-25.218
0.714,-24.287
0.716,-22.976
0.718,-21.369
0.720,-19.545
0.722,-17.573
0.724,-15.508
0.726,-13.380
0.728,-11.216
0.730,-9.050
0.732,-6.938
0.734,-4.978
0.736,-3.286
0.738,-1.981
0.740,-1.145
0.742,-0.786
0.744,-0.831
0.746,-1.124
0.748,-1.475
0.750,-1.695
0.752,-1.652
0.754,-1.289
0.756,-0.628
0.758,0.254
0.760,1.252
0.762,2.271
0.764,3.231
0.766,4.077
0.768,4.763
0.770,5.243
0.772,5.456
0.774,5.358
0.776,4.911
0.778,4.123
0.780,3.053
0.782,1.798
0.784,0.483
0.786,-0.770
0.788,-1.876
0.790,-2.778
0.792,-3.463
0.794,-3.930
0.796,-4.196
0.798,-4.284
0.800,-4.227
0.802,-4.080
0.804,-3.919
0.806,-3.817
0.808,-3.831
0.810,-3.970
0.812,-4.185
0.814,-4.385
0.816,-4.458
0.818,-4.306
0.820,-3.871
0.822,-3.147
0.824,-2.172
0.826,-1.014
0.828,0.246
0.830,1.530
0.832,2.769
0.834,3.906
0.836,4.906
0.838,5.769
0.840,6.531
0.842,7.262
0.844,8.043
0.846,8.940
0.848,9.964
0.850,11.063
0.852,12.111
0.854,12.951
0.856,13.428
0.858,13.441
0.860,12.962
0.862,12.048
0.864,10.823
0.866,9.442
0.868,8.067
0.870,6.838
0.872,5.858
0.874,5.177
0.876,4.802
0.878,4.681
0.880,4.708
0.882,4.739
0.884,4.609
0.886,4.185
0.888,3.375
0.890,2.179
0.892,0.679
0.894,-0.968
0.896,-2.571
0.898,-3.944
0.900,-4.957
0.902,-5.543
0.904,-5.715
0.906,-5.535
0.908,-5.086
0.910,-4.445
0.912,-3.659
0.914,-2.747
0.916,-1.715
0.918,-0.568
0.920,0.665
0.922,1.936
0.924,3.185
0.926,4.354
0.928,5.412
0.930,6.364
0.932,7.252
0.934,8.155
0.936,9.147
0.938,10.294
0.940,11.613
0.942,13.071
0.944,14.572
0.946,15.967
0.948,17.068
0.950,17.683
0.952,17.642
0.954,16.835
0.956,15.242
0.958,12.943
0.960,10.115
0.962,7.015
0.964,3.924
0.966,1.120
0.968,-1.180
0.970,-2.849
0.972,-3.866
0.974,-4.318
0.976,-4.373
0.978,-4.267
0.980,-4.238
0.982,-4.511
0.984,-5.235
0.986,-6.466
0.988,-8.149
0.990,-10.125
0.992,-12.157
0.994,-13.986
0.996,-15.377
0.998,-16.163
1.000,-16.278
1.002,-15.752
1.004,-14.679
1.006,-13.198
1.008,-11.460
1.010,-9.602
1.012,-7.747
1.014,-6.003
1.016,-4.460
1.018,-3.171
1.020,-2.145
1.022,-1.332
1.024,-0.630
1.026,0.088
1.028,0.935
1.030,1.970
1.032,3.169
1.034,4.437
1.036,5.624
1.038,6.594
1.040,7.249
1.042,7.575
1.044,7.624
1.046,7.498
1.048,7.303
1.050,7.112
1.052,6.949
1.054,6.783
1.056,6.557
1.058,6.209
1.060,5.694
1.062,5.000
1.064,4.129
1.066,3.101
1.068,1.928
1.070,0.633
1.072,-0.758
1.074,-2.184
1.076,-3.549
1.078,-4.729
1.080,-5.587
1.082,-6.010
1.084,-5.943
1.086,-5.409
1.088,-4.509
1.090,-3.397
1.092,-2.247
1.094,-1.219
1.096,-0.427
1.098,0.062
1.100,0.220
1.102,0.049
1.104,-0.435
1.106,-1.201
1.108,-2.185
1.110,-3.289
1.112,-4.373
1.114,-5.287
1.116,-5.903
1.118,-6.152
1.120,-6.061
1.122,-5.737
1.124,-5.342
1.126,-5.031
1.128,-4.897
1.130,-4.943
1.132,-5.085
1.134,-5.180
1.136,-5.083
1.138,-4.684
1.140,-3.944
1.142,-2.892
1.144,-1.613
1.146,-0.226
1.148,1.124
1.150,2.303
1.152,3.185
1.154,3.680
1.156,3.748
1.158,3.412
1.160,2.758
1.162,1.919
1.164,1.046
1.166,0.282
1.168,-0.266
1.170,-0.538
1.172,-0.502
1.174,-0.164
1.176,0.450
1.178,1.292
1.180,2.284
1.182,3.322
1.184,4.286
1.186,5.054
1.188,5.539
1.190,5.692
1.192,5.514
1.194,5.043
1.196,4.340
1.198,3.477
1.200,2.520
1.202,1.538
1.204,0.597
1.206,-0.238
1.208,-0.908
1.210,-1.383
1.212,-1.652
1.214,-1.743
1.216,-1.697
1.218,-1.558
1.220,-1.356
1.222,-1.096
1.224,-0.762
1.226,-0.338
1.228,0.182
1.230,0.762
1.232,1.321
1.234,1.734
1.236,1.863
1.238,1.597
1.240,0.876
1.242,-0.265
1.244,-1.702
1.246,-3.246
1.248,-4.683
1.250,-5.831
1.252,-6.586
1.254,-6.933
1.256,-6.945
1.258,-6.739
1.260,-6.442
1.262,-6.144
1.264,-5.882
1.266,-5.649
1.268,-5.417
1.270,-5.155
1.272,-4.855
1.274,-4.531
1.276,-4.206
1.278,-3.897
1.280,-3.614
1.282,-3.356
1.284,-3.128
1.286,-2.948
1.288,-2.849
1.290,-2.860
1.292,-2.987
1.294,-3.195
1.296,-3.407
1.298,-3.531
1.300,-3.501
1.302,-3.306
1.304,-3.002
1.306,-2.697
1.308,-2.504
1.310,-2.493
1.312,-2.660
1.314,-2.927
1.316,-3.164
1.318,-3.257
1.320,-3.139
1.322,-2.818
1.324,-2.373
1.326,-1.919
1.328,-1.566
1.330,-1.384
1.332,-1.391
1.334,-1.539
1.336,-1.748
1.338,-1.917
1.340,-1.957
1.342,-1.804
1.344,-1.435
1.346,-0.877
1.348,-0.196
1.350,0.515
1.352,1.150
1.354,1.611
1.356,1.831
1.358,1.774
1.360,1.445
1.362,0.882
1.364,0.148
1.366,-0.671
1.368,-1.475
1.370,-2.158
1.372,-2.624
1.374,-2.798
1.376,-2.643
1.378,-2.174
1.380,-1.445
1.382,-0.553
1.384,0.384
1.386,1.235
1.388,1.865
1.390,2.148
1.392,1.983
1.394,1.306
1.396,0.121
1.398,-1.498
1.400,-3.402
1.402,-5.388
1.404,-7.233
1.406,-8.739
1.408,-9.761
1.410,-10.241
1.412,-10.213
1.414,-9.785
1.416,-9.134
1.418,-8.457
1.420,-7.938
1.422,-7.705
1.424,-7.790
1.426,-8.117
1.428,-8.517
1.430,-8.772
1.432,-8.675
1.434,-8.080
1.436,-6.951
1.438,-5.350
1.440,-3.418
1.442,-1.333
1.444,0.734
1.446,2.646
1.448,4.302
1.450,5.629
1.452,6.600
1.454,7.209
1.456,7.493
1.458,7.525
1.460,7.412
1.462,7.270
1.464,7.193
1.466,7.232
1.468,7.367
1.470,7.528
1.472,7.613
1.474,7.525
1.476,7.209
1.478,6.669
1.480,5.972
1.482,5.222
1.484,4.549
1.486,4.070
1.488,3.869
1.490,3.987
1.492,4.416
1.494,5.102
1.496,5.951
1.498,6.826
1.500,7.575
1.502,8.042
1.504,8.110
1.506,7.726
1.508,6.924
1.510,5.825
1.512,4.616
1.514,3.499
1.516,2.646
1.518,2.152
1.520,2.026
1.522,2.196
1.524,2.539
1.526,2.919
1.528,3.215
1.530,3.353
1.532,3.311
1.534,3.129
1.536,2.893
1.538,2.727
1.540,2.762
1.542,3.102
1.544,3.799
1.546,4.818
1.548,6.042
1.550,7.278
1.552,8.323
1.554,8.989
1.556,9.160
1.558,8.811
1.560,8.012
1.562,6.906
1.564,5.680
1.566,4.519
1.568,3.590
1.570,3.011
1.572,2.842
1.574,3.075
1.576,3.640
1.578,4.407
1.580,5.212
1.582,5.882
1.584,6.268
1.586,6.287
1.588,5.924
1.590,5.243
1.592,4.354
1.594,3.402
1.596,2.515
1.598,1.798
1.600,1.311
1.602,1.085
1.604,1.121
1.606,1.405
1.608,1.906
1.610,2.592
1.612,3.431
1.614,4.396
1.616,5.471
1.618,6.638
1.620,7.887
1.622,9.171
1.624,10.422
1.626,11.533
1.628,12.398
1.630,12.911
1.632,13.026
1.634,12.758
1.636,12.195
1.638,11.474
1.640,10.741
1.642,10.122
1.644,9.701
1.646,9.495
1.648,9.482
1.650,9.583
1.652,9.710
1.654,9.756
1.656,9.619
1.658,9.219
1.660,8.512
1.662,7.508
1.664,6.267
1.666,4.900
1.668,3.533
1.670,2.289
1.672,1.254
1.674,0.475
1.676,-0.037
1.678,-0.297
1.680,-0.332
1.682,-0.180
1.684,0.105
1.686,0.447
1.688,0.748
1.690,0.896
1.692,0.791
1.694,0.362
1.696,-0.413
1.698,-1.499
1.700,-2.807
1.702,-4.208
1.704,-5.536
1.706,-6.619
1.708,-7.284
1.710,-7.394
1.712,-6.873
1.714,-5.734
1.716,-4.091
1.718,-2.148
1.720,-0.164
1.722,1.600
1.724,2.932
1.726,3.711
1.728,3.922
1.730,3.646
1.732,3.022
1.734,2.215
1.736,1.368
1.738,0.585
1.740,-0.080
1.742,-0.608
1.744,-1.000
1.746,-1.270
1.748,-1.426
1.750,-1.479
1.752,-1.448
1.754,-1.356
1.756,-1.227
1.758,-1.075
1.760,-0.896
1.762,-0.673
1.764,-0.388
1.766,-0.045
1.768,0.311
1.770,0.601
1.772,0.719
1.774,0.584
1.776,0.156
1.778,-0.528
1.780,-1.373
1.782,-2.244
1.784,-3.008
1.786,-3.568
1.788,-3.869
1.790,-3.903
1.792,-3.684
1.794,-3.239
1.796,-2.601
1.798,-1.823
1.800,-0.990
1.802,-0.228
1.804,0.327
1.806,0.549
1.808,0.376
1.810,-0.156
1.812,-0.911
1.814,-1.678
1.816,-2.233
1.818,-2.391
1.820,-2.064
1.822,-1.270
1.824,-0.116
1.826,1.235
1.828,2.611
1.830,3.869
1.832,4.906
1.834,5.659
1.836,6.115
1.838,6.295
1.840,6.255
1.842,6.094
1.844,5.929
1.846,5.873
1.848,6.007
1.850,6.351
1.852,6.844
1.854,7.362
1.856,7.748
1.858,7.860
1.860,7.616
1.862,7.019
1.864,6.157
1.866,5.176
1.868,4.236
1.870,3.466
1.872,2.932
1.874,2.630
1.876,2.503
1.878,2.459
1.880,2.424
1.882,2.354
1.884,2.249
1.886,2.140
1.888,2.075
1.890,2.080
1.892,2.152
1.894,2.263
1.896,2.369
1.898,2.432
1.900,2.445
1.902,2.421
1.904,2.400
1.906,2.416
1.908,2.495
1.910,2.641
1.912,2.852
1.914,3.115
1.916,3.431
1.918,3.796
1.920,4.196
1.922,4.598
1.924,4.940
1.926,5.141
1.928,5.145
1.930,4.932
1.932,4.538
1.934,4.050
1.936,3.585
1.938,3.249
1.940,3.099
1.942,3.125
1.944,3.252
1.946,3.365
1.948,3.338
1.950,3.074
1.952,2.526
1.954,1.711
1.956,0.705
1.958,-0.376
1.960,-1.404
1.962,-2.257
1.964,-2.855
1.966,-3.169
1.968,-3.235
1.970,-3.133
1.972,-2.976
1.974,-2.879
1.976,-2.936
1.978,-3.204
1.980,-3.697
1.982,-4.396
1.984,-5.257
1.986,-6.212
1.988,-7.171
1.990,-8.021
1.992,-8.629
1.994,-8.863
1.996,-8.610
1.998,-7.809
2.000,-6.484
2.002,-4.737
2.004,-2.748
2.006,-0.734
2.008,1.089
2.010,2.539
2.012,3.488
2.014,3.866
2.016,3.665
2.018,2.933
2.020,1.777
2.022,0.364
2.024,-1.070
2.026,-2.257
2.028,-2.930
2.030,-2.887
2.032,-2.046
2.034,-0.488
2.036,1.552
2.038,3.726
2.040,5.653
2.042,6.994
2.044,7.530
2.046,7.190
2.048,6.045
2.050,4.265
2.052,2.083
2.054,-0.257
2.056,-2.523
2.058,-4.514
2.060,-6.061
2.062,-7.032
2.064,-7.356
2.066,-7.021
2.068,-6.102
2.070,-4.743
2.072,-3.153
2.074,-1.565
2.076,-0.201
2.078,0.762
2.080,1.209
2.082,1.096
2.084,0.443
2.086,-0.673
2.088,-2.134
2.090,-3.783
2.092,-5.444
2.094,-6.927
2.096,-8.055
2.098,-8.689
2.100,-8.768
2.102,-8.305
2.104,-7.409
2.106,-6.241
2.108,-4.986
2.110,-3.802
2.112,-2.783
2.114,-1.944
2.116,-1.235
2.118,-0.569
2.120,0.123
2.122,0.871
2.124,1.636
2.126,2.316
2.128,2.769
2.130,2.858
2.132,2.496
2.134,1.672
2.136,0.464
2.138,-0.963
2.140,-2.400
2.142,-3.633
2.144,-4.483
2.146,-4.842
2.148,-4.688
2.150,-4.075
2.152,-3.133
2.154,-2.030
2.156,-0.952
2.158,-0.072
2.160,0.482
2.162,0.640
2.164,0.405
2.166,-0.156
2.168,-0.939
2.170,-1.842
2.172,-2.790
2.174,-3.769
2.176,-4.810
2.178,-5.970
2.180,-7.281
2.182,-8.726
2.184,-10.214
2.186,-11.595
2.188,-12.682
2.190,-13.291
2.192,-13.286
2.194,-12.586
2.196,-11.182
2.198,-9.122
2.200,-6.507
2.202,-3.485
2.204,-0.231
2.206,3.053
2.208,6.158
2.210,8.903
2.212,11.147
2.214,12.819
2.216,13.913
2.218,14.482
2.220,14.600
2.222,14.348
2.224,13.781
2.226,12.930
2.228,11.809
2.230,10.433
2.232,8.820
2.234,7.026
2.236,5.101
2.238,3.120
2.240,1.147
2.242,-0.766
2.244,-2.581
2.246,-4.268
2.248,-5.807
2.250,-7.173
2.252,-8.340
2.254,-9.284
2.256,-9.992
2.258,-10.474
2.260,-10.763
2.262,-10.918
2.264,-11.008
2.266,-11.106
2.268,-11.259
2.270,-11.482
2.272,-11.763
2.274,-12.052
2.276,-12.284
2.278,-12.396
2.280,-12.326
2.282,-12.036
2.284,-11.506
2.286,-10.744
2.288,-9.780
2.290,-8.675
2.292,-7.500
2.294,-6.335
2.296,-5.257
2.298,-4.314
2.300,-3.523
2.302,-2.849
2.304,-2.222
2.306,-1.542
2.308,-0.708
2.310,0.354
2.312,1.662
2.314,3.160
2.316,4.723
2.318,6.185
2.320,7.380
2.322,8.177
2.324,8.522
2.326,8.433
2.328,7.984
2.330,7.278
2.332,6.389
2.334,5.359
2.336,4.190
2.338,2.865
2.340,1.375
2.342,-0.252
2.344,-1.949
2.346,-3.619
2.348,-5.149
2.350,-6.429
2.352,-7.374
2.354,-7.917
2.356,-8.031
2.358,-7.726
2.360,-7.064
2.362,-6.163
2.364,-5.180
2.366,-4.294
2.368,-3.664
2.370,-3.391
2.372,-3.496
2.374,-3.909
2.376,-4.496
2.378,-5.098
2.380,-5.562
2.382,-5.788
2.384,-5.723
2.386,-5.353
2.388,-4.680
2.390,-3.697
2.392,-2.391
2.394,-0.740
2.396,1.242
2.398,3.495
2.400,5.889
2.402,8.244
2.404,10.353
2.406,12.010
2.408,13.047
2.410,13.340
2.412,12.833
2.414,11.527
2.416,9.493
2.418,6.866
2.420,3.841
2.422,0.641
2.424,-2.506
2.426,-5.410
2.428,-7.949
2.430,-10.063
2.432,-11.736
2.434,-12.966
2.436,-13.726
2.438,-13.964
2.440,-13.616
2.442,-12.643
2.444,-11.072
2.446,-9.013
2.448,-6.667
2.450,-4.297
2.452,-2.190
2.454,-0.606
2.456,0.258
2.458,0.314
2.460,-0.404
2.462,-1.732
2.464,-3.397
2.466,-5.066
2.468,-6.396
2.470,-7.109
2.472,-7.043
2.474,-6.179
2.476,-4.625
2.478,-2.598
2.480,-0.357
2.482,1.842
2.484,3.785
2.486,5.321
2.488,6.370
2.490,6.925
2.492,7.021
2.494,6.731
2.496,6.129
2.498,5.276
2.500,4.195
2.502,2.879
2.504,1.298
2.506,-0.560
2.508,-2.665
2.510,-4.913
2.512,-7.122
2.514,-9.071
2.516,-10.532
2.518,-11.334
2.520,-11.402
2.522,-10.782
2.524,-9.627
2.526,-8.171
2.528,-6.681
2.530,-5.412
2.532,-4.560
2.534,-4.247
2.536,-4.512
2.538,-5.314
2.540,-6.557
2.542,-8.106
2.544,-9.806
2.546,-11.497
2.548,-13.025
2.550,-14.253
2.552,-15.069
2.554,-15.404
2.556,-15.226
2.558,-14.546
2.560,-13.415
2.562,-11.905
2.564,-10.106
2.566,-8.122
2.568,-6.078
2.570,-4.121
2.572,-2.420
2.574,-1.144
2.576,-0.429
2.578,-0.341
2.580,-0.849
2.582,-1.813
2.584,-3.019
2.586,-4.228
2.588,-5.235
2.590,-5.924
2.592,-6.294
2.594,-6.436
2.596,-6.498
2.598,-6.621
2.600,-6.893
2.602,-7.318
2.604,-7.822
2.606,-8.284
2.608,-8.570
2.610,-8.571
2.612,-8.224
2.614,-7.514
2.616,-6.479
2.618,-5.201
2.620,-3.798
2.622,-2.410
2.624,-1.183
2.626,-0.236
2.628,0.375
2.630,0.668
2.632,0.750
2.634,0.767
2.636,0.874
2.638,1.169
2.640,1.662
2.642,2.266
2.644,2.831
2.646,3.188
2.648,3.211
2.650,2.844
2.652,2.117
2.654,1.136
2.656,0.046
2.658,-1.002
2.660,-1.884
2.662,-2.518
2.664,-2.881
2.666,-2.997
2.668,-2.932
2.670,-2.775
2.672,-2.613
2.674,-2.512
2.676,-2.507
2.678,-2.601
2.680,-2.775
2.682,-2.999
2.684,-3.251
2.686,-3.517
2.688,-3.790
2.690,-4.059
2.692,-4.297
2.694,-4.460
2.696,-4.483
2.698,-4.300
2.700,-3.845
2.702,-3.078
2.704,-1.979
2.706,-0.569
2.708,1.097
2.710,2.935
2.712,4.825
2.714,6.637
2.716,8.233
2.718,9.501
2.720,10.366
2.722,10.806
2.724,10.860
2.726,10.619
2.728,10.197
2.730,9.699
2.732,9.197
2.734,8.713
2.736,8.216
2.738,7.651
2.740,6.980
2.742,6.195
2.744,5.345
2.746,4.515
2.748,3.822
2.750,3.356
2.752,3.176
2.754,3.290
2.756,3.675
2.758,4.278
2.760,5.040
2.762,5.900
2.764,6.790
2.766,7.621
2.768,8.295
2.770,8.710
2.772,8.780
2.774,8.463
2.776,7.772
2.778,6.785
2.780,5.619
2.782,4.405
2.784,3.265
2.786,2.284
2.788,1.510
2.790,0.967
2.792,0.660
2.794,0.598
2.796,0.783
2.798,1.211
2.800,1.858
2.802,2.675
2.804,3.590
2.806,4.522
2.808,5.401
2.810,6.174
2.812,6.831
2.814,7.370
2.816,7.791
2.818,8.080
2.820,8.193
2.822,8.059
2.824,7.608
2.826,6.780
2.828,5.568
2.830,4.027
2.832,2.290
2.834,0.545
2.836,-0.976
2.838,-2.053
2.840,-2.498
2.842,-2.209
2.844,-1.183
2.846,0.477
2.848,2.579
2.850,4.861
2.852,7.040
2.854,8.836
2.856,10.013
2.858,10.412
2.860,9.977
2.862,8.763
2.864,6.949
2.866,4.812
2.868,2.678
2.870,0.874
2.872,-0.345
2.874,-0.833
2.876,-0.581
2.878,0.303
2.880,1.628
2.882,3.174
2.884,4.739
2.886,6.161
2.888,7.342
2.890,8.228
2.892,8.796
2.894,9.045
2.896,8.983
2.898,8.622
2.900,8.000
2.902,7.165
2.904,6.181
2.906,5.123
2.908,4.072
2.910,3.091
2.912,2.238
2.914,1.552
2.916,1.069
2.918,0.799
2.920,0.740
2.922,0.852
2.924,1.056
2.926,1.239
2.928,1.270
2.930,1.027
2.932,0.435
2.934,-0.515
2.936,-1.758
2.938,-3.166
2.940,-4.576
2.942,-5.830
2.944,-6.791
2.946,-7.382
2.948,-7.578
2.950,-7.425
2.952,-7.026
2.954,-6.527
2.956,-6.094
2.958,-5.884
2.960,-5.997
2.962,-6.461
2.964,-7.219
2.966,-8.139
2.968,-9.050
2.970,-9.779
2.972,-10.182
2.974,-10.171
2.976,-9.720
2.978,-8.865
2.980,-7.701
2.982,-6.380
2.984,-5.090
2.986,-4.037
2.988,-3.404
2.990,-3.308
2.992,-3.767
2.994,-4.686
2.996,-5.874
2.998,-7.090
3.000,-8.085
3.002,-8.662
3.004,-8.691
3.006,-8.118
3.008,-6.956
3.010,-5.275
3.012,-3.196
3.014,-0.888
3.016,1.440
3.018,3.560
3.020,5.249
3.022,6.326
3.024,6.692
3.026,6.346
3.028,5.373
3.030,3.949
3.032,2.279
3.034,0.589
3.036,-0.909
3.038,-2.030
3.040,-2.632
3.042,-2.624
3.044,-1.981
3.046,-0.750
3.048,0.960
3.050,2.997
3.052,5.190
3.054,7.389
3.056,9.488
3.058,11.426
3.060,13.184
3.062,14.760
3.064,16.149
3.066,17.329
3.068,18.259
3.070,18.902
3.072,19.215
3.074,19.184
3.076,18.824
3.078,18.167
3.080,17.269
3.082,16.203
3.084,15.061
3.086,13.927
3.088,12.894
3.090,12.029
3.092,11.375
3.094,10.921
3.096,10.613
3.098,10.356
3.100,10.050
3.102,9.605
3.104,8.988
3.106,8.208
3.108,7.323
3.110,6.407
3.112,5.527
3.114,4.710
3.116,3.946
3.118,3.207
3.120,2.459
3.122,1.702
3.124,0.965
3.126,0.314
3.128,-0.169
3.130,-0.416
3.132,-0.386
3.134,-0.070
3.136,0.506
3.138,1.287
3.140,2.215
3.142,3.220
3.144,4.235
3.146,5.198
3.148,6.053
3.150,6.764
3.152,7.313
3.154,7.704
3.156,7.960
3.158,8.120
3.160,8.213
3.162,8.273
3.164,8.305
3.166,8.311
3.168,8.278
3.170,8.206
3.172,8.107
3.174,8.031
3.176,8.043
3.178,8.220
3.180,8.634
3.182,9.313
3.184,10.232
3.186,11.302
3.188,12.395
3.190,13.361
3.192,14.090
3.194,14.522
3.196,14.675
3.198,14.626
3.200,14.463
3.202,14.262
3.204,14.039
3.206,13.755
3.208,13.337
3.210,12.704
3.212,11.801
3.214,10.613
3.216,9.154
3.218,7.447
3.220,5.514
3.222,3.362
3.224,1.018
3.226,-1.455
3.228,-3.941
3.230,-6.271
3.232,-8.264
3.234,-9.756
3.236,-10.659
3.238,-10.956
3.240,-10.699
3.242,-9.978
3.244,-8.892
3.246,-7.535
3.248,-6.013
3.250,-4.458
3.252,-3.042
3.254,-1.957
3.256,-1.383
3.258,-1.427
3.260,-2.083
3.262,-3.207
3.264,-4.566
3.266,-5.874
3.268,-6.881
3.270,-7.420
3.272,-7.431
3.274,-6.959
3.276,-6.107
3.278,-5.005
3.280,-3.774
3.282,-2.512
3.284,-1.292
3.286,-0.174
3.288,0.790
3.290,1.542
3.292,2.024
3.294,2.174
